poi_id,lat,lon,category,weight,original_poi_count,original_poi_ids
0,55.9162285,-3.2851455,library,1.1,1,[np.int64(0)]
1,55.9407099,-3.2810362,library,1.1,1,[np.int64(2)]
2,55.9427446,-3.0563335,library,1.1,1,[np.int64(5)]
3,55.9472046,-3.1869088,library,1.1,1,[np.int64(7)]
4,55.9331942,-3.1367474,library,1.1,1,[np.int64(10)]
5,55.8717713,-3.1137959,library,1.1,1,[np.int64(14)]
6,55.9201125,-3.2875585,library,1.1,1,[np.int64(25)]
7,55.9754823,-3.1800469,library,1.1,1,[np.int64(27)]
8,55.9506224,-3.1808417,library,1.1,1,[np.int64(28)]
9,55.9334673,-3.2128229,library,1.1,1,[np.int64(29)]
10,55.9489914,-3.1915823000000003,library,2.2,2,"[30, 37]"
11,55.9028613,-3.1531137,library,1.1,1,[np.int64(31)]
12,55.8796264,-3.1535729,library,1.1,1,[np.int64(32)]
13,55.939691,-3.1818686,library,1.1,1,[np.int64(33)]
14,55.9460774,-3.2005191,library,1.1,1,[np.int64(34)]
15,55.94839331,-3.1924703965,library,2.2,2,"[35, 185]"
16,55.9476338,-3.1876627,library,1.1,1,[np.int64(36)]
17,55.87442,-3.0485666,library,1.1,1,[np.int64(38)]
18,55.9767277,-3.2267667,library,1.1,1,[np.int64(39)]
19,55.9162181,-3.1102172,library,1.1,1,[np.int64(41)]
20,55.949736,-3.1949634,library,1.1,1,[np.int64(48)]
21,55.9246932,-3.2880002,library,1.1,1,[np.int64(50)]
22,55.89286101,-3.070264127,library,1.1,1,[np.int64(53)]
23,55.9616459,-3.26096943,library,1.1,1,[np.int64(66)]
24,55.94266114,-3.188989747,library,1.1,1,[np.int64(76)]
25,55.91345709,-3.134949632,library,1.1,1,[np.int64(89)]
26,55.94010782,-3.218358857,library,1.1,1,[np.int64(103)]
27,55.89609792,-3.311059707,library,1.1,1,[np.int64(109)]
28,55.93663051,-3.179831189,library,1.1,1,[np.int64(121)]
29,55.90876593,-3.322166531,library,1.1,1,[np.int64(154)]
30,55.95503729,-3.142267856,library,1.1,1,[np.int64(166)]
31,55.9514455,-3.178098866,library,1.1,1,[np.int64(183)]
32,55.94857471,-3.191701573,library,1.1,1,[np.int64(186)]
33,55.9320804,-3.179735895,library,1.1,1,[np.int64(187)]
34,55.92889298,-3.209940931,library,1.1,1,[np.int64(188)]
35,55.93725887,-3.248423134,library,1.1,1,[np.int64(189)]
36,55.96134562,-3.181388959,library,1.1,1,[np.int64(190)]
37,55.86672505,-3.06583005,library,1.1,1,[np.int64(312)]
38,55.92290461,-3.174976595,library,1.1,1,[np.int64(806)]
39,55.90672481,-3.251408978,library,1.1,1,[np.int64(848)]
40,55.95538392,-3.287034985,library,1.1,1,[np.int64(1412)]
41,55.95891962,-3.207839007,library,1.1,1,[np.int64(3474)]
42,55.90531345,-3.134191235,library,1.1,1,[np.int64(4785)]
43,55.95337271,-3.116759644,library,1.1,1,[np.int64(15344)]
44,55.96651862,-3.205719224,library,1.1,1,[np.int64(15355)]
