strategy,budget_limit,budget_used,Q,opened
uniform,200000,186000.0,2.472943022276785,4
uniform,500000,495000.0,1.2760922453875587,9
uniform,800000,795000.0,0.8933168527810743,15
uniform,1100000,1084000.0,0.6903026357742418,20
uniform,1400000,1395000.0,0.5869897733294472,25
uniform,1700000,1686000.0,0.4870537465645601,30
uniform,2000000,1994999.9999999623,0.4242320312794519,34
uniform,2300000,2298000.000000001,0.3822425919897976,40
uniform,2600000,2589000.0,0.33208253781741887,43
uniform,2900000,2900000.0,0.3013925120615284,46
uniform,3200000,3194999.999999999,0.2826664153637952,52
uniform,3500000,3476999.999999989,0.25791155864323295,56
uniform,3800000,3798000.0,0.24333712470942764,60
uniform,4100000,4098000.0,0.23012392892439534,63
uniform,4400000,4398000.0,0.2160697061008186,68
uniform,4700000,4686000.0,0.1987887371673838,71
uniform,5000000,4962000.0,0.1852053631774331,75
commercial,200000,191000.0,2.750503113391645,4
commercial,500000,498000.0,1.2911418056725752,10
commercial,800000,774000.0,0.9359040951453045,14
commercial,1100000,1083000.000000033,0.7080922315945367,20
commercial,1400000,1398000.0,0.604793381633207,24
commercial,1700000,1698000.0,0.5041801507034701,30
commercial,2000000,1998000.0,0.45243571273706373,35
commercial,2300000,2298000.0,0.41329810811244605,39
commercial,2600000,2589000.0,0.3382660968076314,45
commercial,2900000,2895000.0,0.2989370027476073,49
commercial,3200000,3198000.0,0.26813231696686085,53
commercial,3500000,3500000.0,0.2593543387379701,57
commercial,3800000,3777000.0,0.2593543387379764,58
commercial,4100000,4086000.0,0.2593543387379739,62
commercial,4400000,4383000.0,0.2593543387379701,65
commercial,4700000,4697000.0,0.2593543387379701,69
commercial,5000000,4995000.0,0.2593543387379701,71
pred,200000,186000.0,2.460642592519565,4
pred,500000,495000.0,1.2600854978489369,9
pred,800000,798000.0,0.8965217059148638,14
pred,1100000,1086000.0000000256,0.6694692517761832,20
pred,1400000,1398000.0,0.5981878291643821,25
pred,1700000,1695000.0,0.48705374656456,29
pred,2000000,1998000.0,0.421894229270259,35
pred,2300000,2287000.0,0.3706612580578708,39
pred,2600000,2589000.0,0.33690662046077663,44
pred,2900000,2895000.0,0.3021955606598244,46
pred,3200000,3198000.0,0.2802219098074968,50
pred,3500000,3496000.0,0.2802219098074968,54
pred,3800000,3800000.0,0.2802219098074968,55
pred,4100000,4076000.0,0.2802219098074968,59
pred,4400000,4364000.0,0.2802219098074967,62
pred,4700000,4700000.0,0.2802219098074968,67
pred,5000000,4986000.0,0.2802219098074968,69
