candidate_id,centroid_lon,centroid_lat,"C_j, alpha = 0","C_j, alpha = 0.1","C_j, alpha = 0.2","C_j, alpha = 0.3","C_j, alpha = 0.4","C_j, alpha = 0.5","C_j, alpha = 0.6","C_j, alpha = 0.7","C_j, alpha = 0.8","C_j, alpha = 0.9","C_j, alpha = 1"
0,-3.18724975,55.94707346,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000
1,-3.332974671,55.97032003,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000
2,-3.120469843,55.95684355,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000
3,-3.19394332,55.97652547,90000,81000,72000,63000,54000,45000,36000,27000,18000,9000,0
4,-3.277237919,55.92740452,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000
5,-3.213073522,55.93341878,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000
6,-3.081988888,55.88531668,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000
7,-3.236766674,55.94403157,90000,81000,72000,63000,54000,45000,36000,27000,18000,9000,0
8,-3.179216397,55.96019905,90000,81000,72000,63000,54000,45000,36000,27000,18000,9000,0
9,-3.191310384,55.92543583,90000,81000,72000,63000,54000,45000,36000,27000,18000,9000,0
10,-3.317544149,55.91053359,90000,81000,72000,63000,54000,45000,36000,27000,18000,9000,0
11,-3.203787053,55.96065309,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000
12,-3.137281981,55.90207045,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000
13,-3.205667322,55.94795621,90000,81000,72000,63000,54000,45000,36000,27000,18000,9000,0
14,-3.167808786,55.97532646,90000,81000,72000,63000,54000,45000,36000,27000,18000,9000,0
15,-3.068310684,55.93283666,90000,81000,72000,63000,54000,45000,36000,27000,18000,9000,0
16,-3.187666428,55.93837779,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000
17,-3.235026189,55.96229848,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000
18,-3.300853126,55.97895949,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000
19,-3.249487279,55.92272753,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000
20,-3.221350975,55.94177193,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000
21,-3.176904431,55.92429049,90000,81000,72000,63000,54000,45000,36000,27000,18000,9000,0
22,-3.199584659,55.93848256,90000,81000,72000,63000,54000,45000,36000,27000,18000,9000,0
23,-3.100264056,55.94957816,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000
24,-3.174833919,55.94098049,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000
25,-3.18974072,55.88560717,90000,81000,72000,63000,54000,45000,36000,27000,18000,9000,0
26,-3.191429622,55.9557381,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000
27,-3.244977109,55.95349234,90000,81000,72000,63000,54000,45000,36000,27000,18000,9000,0
28,-3.177787275,55.96496016,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000
29,-3.125849423,55.92939789,90000,81000,72000,63000,54000,45000,36000,27000,18000,9000,0
30,-3.191200476,55.96242547,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000
31,-3.174388956,55.97810775,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000
32,-3.1708138,55.95460221,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000
33,-3.314004791,55.93483583,90000,81000,72000,63000,54000,45000,36000,27000,18000,9000,0
34,-3.144736012,55.9495929,90000,81000,72000,63000,54000,45000,36000,27000,18000,9000,0
