candidate_id,centroid_lon,centroid_lat,
0,-3.18724975,55.94707346,5000
1,-3.332974671,55.97032003,5000
2,-3.120469843,55.95684355,5000
3,-3.19394332,55.97652547,4500
4,-3.277237919,55.92740452,5000
5,-3.213073522,55.93341878,5000
6,-3.081988888,55.88531668,5000
7,-3.236766674,55.94403157,3500
8,-3.179216397,55.96019905,4000
9,-3.191310384,55.92543583,4000
10,-3.317544149,55.91053359,4500
11,-3.203787053,55.96065309,5000
12,-3.137281981,55.90207045,5000
13,-3.205667322,55.94795621,4500
14,-3.167808786,55.97532646,3000
15,-3.068310684,55.93283666,4000
16,-3.187666428,55.93837779,5000
17,-3.235026189,55.96229848,5000
18,-3.300853126,55.97895949,5000
19,-3.249487279,55.92272753,5000
20,-3.221350975,55.94177193,4500
21,-3.176904431,55.92429049,4500
22,-3.199584659,55.93848256,3000
23,-3.100264056,55.94957816,5000
24,-3.174833919,55.94098049,5000
25,-3.18974072,55.88560717,3500
26,-3.191429622,55.9557381,5000
27,-3.244977109,55.95349234,3000
28,-3.177787275,55.96496016,5000
29,-3.125849423,55.92939789,3000
30,-3.191200476,55.96242547,5000
31,-3.174388956,55.97810775,5000
32,-3.1708138,55.95460221,4500
33,-3.314004791,55.93483583,4000
34,-3.144736012,55.9495929,3500
35,-3.276016557,55.9407926,5000
36,-3.229646323,55.927941,5000
37,-3.319661153,55.8961679,5000
38,-3.202831527,55.95269025,4500
39,-3.202540868,55.92905971,5000
40,-3.265288392,55.90917824,4500
41,-3.112421905,55.94793007,4000
42,-3.199850197,55.9461015,4500
43,-3.221724778,55.95434748,4500
44,-3.1818686,55.939691,5000
45,-3.206354263,55.97442097,5000
46,-3.231471419,55.91002834,4500
47,-3.308557813,55.96803091,5000
48,-3.059918363,55.94450763,5000
49,-3.147257722,55.87908588,2500
50,-3.063925526,55.89334949,4500
51,-3.178195527,55.95241616,5000
52,-3.169738696,55.97122251,4000
53,-3.138165711,55.92214069,5000
54,-3.185051306,55.94263348,4500
55,-3.181359879,55.87078904,3500
56,-3.092766902,55.86774861,5000
57,-3.207726862,55.95794252,4500
58,-3.093078084,55.91488739,5000
59,-3.246097947,55.93673286,4500
60,-3.155532441,55.96643278,5000
61,-3.219763757,55.94745525,5000
62,-3.194846644,55.95349992,4000
63,-3.249498174,55.96620611,3000
64,-3.209058069,55.92697449,5000
65,-3.135910039,55.9591153,3500
66,-3.228506558,55.93958391,4500
67,-3.207313678,55.94646837,4500
68,-3.226650861,55.95922103,4500
69,-3.328470109,55.98061637,3500
70,-3.252325158,55.93839574,5000
71,-3.254991598,55.95156617,5000
72,-3.196989038,55.9643896,4500
73,-3.295264695,55.92907114,5000
74,-3.172500554,55.96859586,5000
75,-3.247770788,55.95719174,3000
76,-3.192101335,55.94871951,4500
77,-3.052649777,55.89327514,4500
78,-3.209054508,55.93665415,4500
79,-3.187549931,55.95951465,3500
80,-3.097459898,55.94404768,4000
81,-3.11140244,55.95199696,4500
82,-3.235983255,55.96516214,4000
83,-3.283595278,55.95573964,4000
84,-3.217388661,55.94500108,5000
85,-3.21342926,55.95063823,4500
86,-3.201237918,55.94345357,4500
87,-3.057225049,55.87258102,4500
88,-3.156451345,55.92798035,5000
89,-3.175076568,55.95803674,5000
90,-3.260188697,55.91724635,5000
91,-3.2508256,55.94678954,4000
92,-3.180166348,55.93650603,2500
93,-3.16722306,55.90197805,5000
94,-3.176736185,55.97771063,4500
95,-3.21478528,55.94082886,1500
96,-3.182899925,55.95142776,5000
97,-3.268740541,55.94240269,4500
98,-3.240009676,55.92221913,5000
99,-3.317008615,55.92606542,5000
100,-3.327191219,55.94682906,5000
101,-3.160950083,55.87650614,4500
102,-3.18693674,55.94517079,4000
103,-3.211258753,55.95933366,4500
104,-3.184799493,55.96239329,5000
105,-3.206915775,55.94473358,4500
106,-3.181717995,55.94264366,5000
107,-3.179968567,55.96155514,4500
108,-3.196389743,55.95771421,4000
109,-3.08732673,55.93629665,4000
110,-3.118547605,55.88273684,3000
111,-3.286906812,55.90457109,4500
112,-3.191802303,55.95246469,4500
113,-3.181643177,55.98043981,5000
114,-3.143337735,55.9555413,4500
115,-3.17482011,55.92283306,3500
116,-3.283392248,55.91820754,4500
117,-3.287979735,55.92433258,3000
118,-3.242612637,55.97497293,4500
119,-3.073506032,55.88031134,5000
120,-3.20682534,55.95059578,4500
121,-3.195663637,55.94533246,4000
122,-3.264718075,55.92667217,5000
123,-3.184725125,55.94894915,2500
124,-3.069085954,55.94490077,5000
125,-3.174271721,55.96528035,5000
126,-3.201819888,55.93065658,5000
127,-3.150934102,55.90631601,5000
128,-3.202444642,55.93760346,4500
129,-3.322166531,55.90876593,5000
130,-3.306897659,55.89648406,4000
131,-3.187854614,55.92316278,5000
132,-3.304536809,55.95119745,4000
133,-3.182747229,55.95885951,5000
134,-3.232312347,55.96585833,5000
135,-3.181016304,55.94797712,4500
136,-3.238561888,55.93240462,4500
137,-3.180413258,55.94955951,2500
138,-3.216747326,55.95555883,4000
139,-3.187671408,55.96573971,4500
140,-3.305695044,55.96106892,4500
141,-3.203264457,55.89535435,4500
142,-3.224256867,55.95016817,4500
143,-3.189272722,55.9268633,5000
144,-3.225089561,55.9408151,5000
145,-3.196848718,55.94757137,4000
146,-3.272201702,55.9119279,5000
147,-3.218358857,55.94010782,2000
148,-3.207184049,55.94056121,3000
149,-3.248885107,55.90735696,4000
150,-3.137442518,55.966669,5000
151,-3.211172131,55.94734116,5000
152,-3.297074036,55.94265847,5000
153,-3.110702513,55.91783518,3500
154,-3.332410525,55.90900824,4500
155,-3.243239944,55.95655412,4500
156,-3.23917301,55.91654594,4500
157,-3.320410729,55.89264454,5000
158,-3.307080577,55.97163798,4500
159,-3.232768781,55.92678462,4500
160,-3.171962758,55.97687558,4500
161,-3.142226736,55.9319446,2500
162,-3.176298935,55.93987686,5000
163,-3.274134939,55.96286821,4500
164,-3.132936517,55.86699541,4000
165,-3.197804433,55.94422746,4000
166,-3.138318059,55.89747106,5000
167,-3.113379719,55.94358428,5000
168,-3.207780833,55.95907384,3000
169,-3.10078717,55.86549771,5000
170,-3.14090431,55.95257991,4000
171,-3.145920679,55.95988279,4500
172,-3.19121362,55.87073372,5000
173,-3.221957867,55.96093269,5000
174,-3.201986211,55.96290976,5000
175,-3.328999718,55.93856727,5000
176,-3.232942551,55.904613,5000
177,-3.22924549,55.97914204,4500
178,-3.215640136,55.94292543,4000
179,-3.174202576,55.9542104,5000
180,-3.096180716,55.93911763,4500
181,-3.173042751,55.9413755,5000
182,-3.078093106,55.87687523,4500
183,-3.173444921,55.97102987,5000
184,-3.185845262,55.9721949,5000
185,-3.298580127,55.91980415,4500
186,-3.229461271,55.93344769,5000
187,-3.209940931,55.92889298,4500
188,-3.066857462,55.92148813,5000
189,-3.045841273,55.90067374,5000
190,-3.102379755,55.91252059,5000
191,-3.224983012,55.95463169,5000
192,-3.201430161,55.97214284,4500
193,-3.198237379,55.92901442,5000
194,-3.242152669,55.95838001,5000
195,-3.248217963,55.931517,5000
196,-3.158433119,55.97237812,5000
197,-3.151052267,55.91372244,5000
198,-3.204944796,55.94596826,4000
199,-3.302102416,55.97965611,3000
200,-3.330618582,55.87655266,5000
201,-3.13964354,55.92078222,5000
202,-3.188416617,55.94339001,4000
203,-3.30870397,55.96960903,5000
204,-3.196995058,55.93655392,5000
205,-3.168530954,55.97039798,5000
206,-3.184013652,55.94671933,5000
207,-3.172015463,55.95715441,4500
208,-3.049973445,55.94210199,4500
209,-3.185891385,55.96362937,4500
210,-3.103658592,55.94181512,5000
211,-3.331643868,55.97188104,5000
212,-3.235745369,55.94812848,3500
213,-3.134779985,55.94849824,5000
214,-3.322362758,55.91060855,4500
215,-3.064622637,55.8654385,5000
216,-3.273390405,55.93830135,4000
217,-3.181356403,55.94435116,4500
218,-3.115261425,55.95336304,4000
219,-3.181388959,55.96134562,3500
220,-3.149532183,55.96368628,4000
221,-3.249336468,55.9741898,4500
222,-3.174874831,55.96728986,5000
223,-3.157927983,55.9676071,5000
224,-3.278753975,55.92067848,4000
225,-3.211383705,55.95705883,5000
226,-3.190809613,55.95451345,5000
227,-3.172037812,55.86819815,5000
228,-3.226831758,55.96485932,4000
229,-3.205015596,55.92875805,5000
230,-3.284916044,55.94265634,3500
231,-3.250316181,55.94471486,3500
232,-3.185214157,55.9444398,3500
233,-3.222859598,55.90713173,3500
234,-3.244521665,55.92391307,4500
235,-3.180054831,55.95085175,4500
236,-3.242151717,55.96696497,4500
237,-3.202417234,55.92747549,5000
238,-3.206475218,55.94339683,5000
239,-3.174395271,55.91404419,5000
240,-3.260912843,55.96694004,5000
241,-3.32905213,55.92301262,5000
242,-3.101155849,55.89779797,5000
243,-3.083137698,55.91301797,5000
244,-3.144485565,55.89628042,5000
245,-3.073969167,55.93092459,4000
246,-3.194640524,55.94359585,5000
247,-3.161129183,55.93097377,4500
248,-3.31848319,55.918073,5000
249,-3.190140901,55.96051884,4500
250,-3.200866954,55.93680134,3500
251,-3.13255965,55.9562518,5000
252,-3.243234103,55.92876044,5000
253,-3.274033322,55.90404666,4000
254,-3.109671797,55.95056709,5000
255,-3.113323673,55.95054145,5000
256,-3.319036957,55.96586837,5000
257,-3.163456049,55.96489567,4000
258,-3.182182781,55.87762396,5000
259,-3.177638083,55.95159872,4500
260,-3.180749106,55.9399857,5000
261,-3.161437032,55.89407184,4500
262,-3.184545404,55.95130784,5000
263,-3.1956252,55.97585769,4500
264,-3.185222372,55.9456673,5000
265,-3.1145323,55.87095228,5000
266,-3.179352401,55.93440697,4500
267,-3.280394033,55.91287293,5000
268,-3.217741693,55.92716035,4500
