strategy,budget_limit,budget_used,Q,opened_count,opened_indices,Z_values_opened
commercial,5000000,4995000.0,0.2593543387379701,71,"[0, 4, 14, 15, 21, 29, 30, 33, 36, 37, 39, 42, 43, 44, 48, 54, 55, 57, 61, 63, 67, 71, 76, 80, 81, 83, 86, 88, 96, 108, 111, 113, 116, 119, 126, 127, 132, 133, 147, 154, 166, 167, 191, 196, 200, 202, 229, 231, 257, 259, 309, 313, 317, 325, 328, 329, 331, 335, 336, 339, 340, 343, 347, 348, 350, 353, 363, 366, 369, 375, 381]","{0: 10, 4: 10, 14: 10, 15: 10, 21: 10, 29: 10, 30: 10, 33: 10, 36: 10, 37: 10, 39: 10, 42: 10, 43: 10, 44: 10, 48: 10, 54: 10, 55: 10, 57: 10, 61: 10, 63: 10, 67: 10, 71: 10, 76: 10, 80: 10, 81: 10, 83: 10, 86: 10, 88: 10, 96: 10, 108: 10, 111: 10, 113: 10, 116: 10, 119: 10, 126: 10, 127: 10, 132: 10, 133: 10, 147: 10, 154: 10, 166: 10, 167: 10, 191: 10, 196: 10, 200: 10, 202: 10, 229: 10, 231: 10, 257: 10, 259: 10, 309: 20, 313: 24, 317: 23, 325: 20, 328: 21, 329: 18, 331: 20, 335: 25, 336: 23, 339: 20, 340: 38, 343: 20, 347: 19, 348: 17, 350: 23, 353: 46, 363: 38, 366: 28, 369: 21, 375: 44, 381: 17}"
commercial,4700000,4697000.0,0.2593543387379701,69,"[0, 4, 6, 8, 13, 14, 17, 20, 23, 25, 28, 30, 32, 36, 37, 39, 42, 43, 56, 57, 61, 63, 66, 76, 83, 85, 88, 89, 108, 111, 112, 119, 124, 132, 133, 150, 167, 182, 183, 202, 206, 226, 259, 266, 276, 283, 291, 309, 313, 319, 324, 325, 327, 328, 329, 331, 332, 336, 339, 347, 352, 360, 362, 363, 366, 367, 369, 372, 379]","{0: 10, 4: 10, 6: 10, 8: 10, 13: 10, 14: 10, 17: 10, 20: 10, 23: 10, 25: 10, 28: 10, 30: 10, 32: 10, 36: 10, 37: 10, 39: 10, 42: 10, 43: 10, 56: 10, 57: 10, 61: 10, 63: 10, 66: 10, 76: 10, 83: 10, 85: 10, 88: 10, 89: 10, 108: 10, 111: 10, 112: 10, 119: 10, 124: 10, 132: 10, 133: 10, 150: 10, 167: 10, 182: 10, 183: 10, 202: 10, 206: 32, 226: 10, 259: 10, 266: 10, 276: 10, 283: 10, 291: 10, 309: 20, 313: 24, 319: 20, 324: 21, 325: 20, 327: 17, 328: 21, 329: 18, 331: 20, 332: 23, 336: 23, 339: 20, 347: 19, 352: 25, 360: 23, 362: 26, 363: 38, 366: 42, 367: 24, 369: 21, 372: 20, 379: 20}"
commercial,4400000,4383000.0,0.2593543387379701,65,"[0, 3, 8, 13, 14, 21, 23, 24, 33, 36, 37, 41, 42, 48, 49, 54, 61, 62, 63, 85, 88, 89, 94, 111, 113, 114, 118, 119, 133, 149, 154, 160, 191, 206, 220, 226, 257, 259, 276, 305, 309, 313, 318, 325, 327, 328, 329, 331, 332, 336, 339, 340, 343, 346, 350, 359, 360, 362, 363, 364, 368, 369, 371, 380, 382]","{0: 10, 3: 10, 8: 10, 13: 10, 14: 10, 21: 10, 23: 10, 24: 10, 33: 10, 36: 10, 37: 10, 41: 10, 42: 10, 48: 10, 49: 10, 54: 10, 61: 10, 62: 10, 63: 10, 85: 10, 88: 10, 89: 10, 94: 10, 111: 10, 113: 10, 114: 10, 118: 10, 119: 10, 133: 10, 149: 10, 154: 10, 160: 10, 191: 10, 206: 32, 220: 10, 226: 10, 257: 10, 259: 10, 276: 10, 305: 25, 309: 20, 313: 24, 318: 31, 325: 20, 327: 17, 328: 21, 329: 18, 331: 20, 332: 23, 336: 23, 339: 20, 340: 38, 343: 20, 346: 31, 350: 23, 359: 33, 360: 23, 362: 26, 363: 38, 364: 39, 368: 22, 369: 21, 371: 26, 380: 13, 382: 31}"
commercial,4100000,4086000.0,0.2593543387379739,62,"[0, 3, 4, 8, 14, 17, 20, 21, 24, 29, 31, 36, 37, 42, 48, 54, 62, 63, 66, 71, 76, 81, 85, 88, 89, 111, 114, 119, 132, 145, 150, 161, 182, 206, 207, 259, 276, 309, 313, 317, 324, 325, 327, 329, 332, 336, 338, 339, 340, 341, 343, 345, 352, 360, 361, 363, 364, 366, 367, 369, 371, 379]","{0: 10, 3: 10, 4: 10, 8: 10, 14: 10, 17: 10, 20: 10, 21: 10, 24: 10, 29: 10, 31: 10, 36: 10, 37: 10, 42: 10, 48: 10, 54: 10, 62: 10, 63: 10, 66: 10, 71: 10, 76: 10, 81: 10, 85: 10, 88: 10, 89: 10, 111: 10, 114: 10, 119: 10, 132: 10, 145: 21, 150: 10, 161: 10, 182: 10, 206: 32, 207: 10, 259: 10, 276: 10, 309: 20, 313: 24, 317: 23, 324: 21, 325: 20, 327: 17, 329: 18, 332: 23, 336: 23, 338: 22, 339: 20, 340: 38, 341: 25, 343: 20, 345: 14, 352: 25, 360: 23, 361: 17, 363: 38, 364: 39, 366: 28, 367: 24, 369: 21, 371: 26, 379: 20}"
commercial,3800000,3777000.0,0.2593543387379764,58,"[0, 3, 8, 14, 17, 20, 21, 22, 31, 37, 41, 42, 48, 63, 67, 81, 85, 89, 108, 111, 114, 119, 124, 145, 195, 206, 226, 231, 257, 259, 268, 276, 303, 305, 309, 313, 317, 318, 320, 324, 325, 327, 328, 329, 332, 334, 336, 340, 341, 343, 345, 350, 352, 363, 364, 366, 367, 371]","{0: 10, 3: 10, 8: 10, 14: 10, 17: 10, 20: 10, 21: 10, 22: 10, 31: 10, 37: 10, 41: 10, 42: 10, 48: 10, 63: 10, 67: 10, 81: 10, 85: 10, 89: 10, 108: 10, 111: 10, 114: 10, 119: 10, 124: 10, 145: 21, 195: 10, 206: 32, 226: 10, 231: 10, 257: 10, 259: 10, 268: 10, 276: 10, 303: 32, 305: 25, 309: 20, 313: 24, 317: 23, 318: 31, 320: 34, 324: 21, 325: 20, 327: 17, 328: 21, 329: 18, 332: 23, 334: 25, 336: 23, 340: 38, 341: 25, 343: 20, 345: 14, 350: 23, 352: 25, 363: 38, 364: 39, 366: 28, 367: 24, 371: 26}"
commercial,3500000,3500000.0,0.2593543387379701,57,"[0, 8, 30, 31, 33, 37, 59, 63, 66, 71, 89, 111, 114, 119, 124, 132, 145, 157, 160, 161, 167, 182, 183, 206, 231, 259, 266, 276, 309, 313, 317, 320, 325, 326, 327, 328, 329, 332, 339, 340, 341, 342, 343, 345, 346, 351, 352, 360, 363, 364, 366, 367, 368, 369, 375, 380, 382]","{0: 10, 8: 10, 30: 10, 31: 10, 33: 10, 37: 10, 59: 10, 63: 10, 66: 10, 71: 10, 89: 10, 111: 10, 114: 10, 119: 10, 124: 10, 132: 10, 145: 21, 157: 10, 160: 10, 161: 10, 167: 10, 182: 10, 183: 10, 206: 32, 231: 10, 259: 10, 266: 10, 276: 10, 309: 20, 313: 24, 317: 23, 320: 34, 325: 20, 326: 26, 327: 17, 328: 21, 329: 18, 332: 23, 339: 22, 340: 38, 341: 25, 342: 22, 343: 20, 345: 14, 346: 31, 351: 15, 352: 25, 360: 23, 363: 38, 364: 39, 366: 28, 367: 24, 368: 22, 369: 21, 375: 44, 380: 13, 382: 31}"
commercial,3200000,3198000.0,0.26813231696686085,53,"[8, 21, 24, 37, 57, 63, 111, 116, 145, 160, 172, 183, 200, 206, 220, 259, 276, 303, 305, 307, 309, 310, 318, 320, 324, 325, 326, 327, 328, 329, 331, 332, 336, 337, 339, 340, 342, 343, 345, 346, 350, 351, 358, 360, 363, 364, 366, 368, 369, 373, 374, 375, 381]","{8: 10, 21: 10, 24: 10, 37: 10, 57: 10, 63: 10, 111: 10, 116: 10, 145: 21, 160: 10, 172: 10, 183: 10, 200: 10, 206: 32, 220: 10, 259: 10, 276: 10, 303: 32, 305: 25, 307: 27, 309: 20, 310: 35, 318: 31, 320: 34, 324: 21, 325: 20, 326: 26, 327: 17, 328: 21, 329: 18, 331: 20, 332: 23, 336: 23, 337: 69, 339: 20, 340: 38, 342: 22, 343: 20, 345: 14, 346: 31, 350: 23, 351: 15, 358: 14, 360: 23, 363: 38, 364: 39, 366: 28, 368: 22, 369: 21, 373: 12, 374: 19, 375: 44, 381: 17}"
commercial,2900000,2895000.0,0.2989370027476073,49,"[4, 8, 36, 37, 71, 89, 111, 132, 145, 166, 183, 200, 206, 259, 266, 276, 291, 307, 309, 313, 316, 317, 318, 320, 324, 325, 326, 327, 328, 329, 331, 332, 336, 337, 339, 340, 343, 345, 346, 347, 351, 352, 360, 363, 367, 368, 369, 373, 375]","{4: 10, 8: 10, 36: 10, 37: 10, 71: 10, 89: 10, 111: 10, 132: 10, 145: 21, 166: 10, 183: 10, 200: 10, 206: 32, 259: 10, 266: 10, 276: 10, 291: 10, 307: 27, 309: 20, 313: 24, 316: 25, 317: 23, 318: 31, 320: 34, 324: 21, 325: 20, 326: 26, 327: 17, 328: 21, 329: 18, 331: 20, 332: 23, 336: 23, 337: 69, 339: 20, 340: 38, 343: 20, 345: 14, 346: 31, 347: 19, 351: 15, 352: 25, 360: 23, 363: 38, 367: 24, 368: 22, 369: 21, 373: 12, 375: 44}"
commercial,2600000,2589000.0,0.3382660968076314,45,"[21, 37, 71, 96, 111, 145, 150, 160, 200, 206, 259, 276, 291, 305, 307, 309, 313, 314, 317, 318, 320, 324, 325, 326, 327, 328, 332, 334, 336, 337, 339, 340, 343, 345, 347, 351, 352, 360, 363, 365, 367, 369, 371, 375, 382]","{21: 10, 37: 10, 71: 10, 96: 10, 111: 10, 145: 21, 150: 10, 160: 10, 200: 10, 206: 32, 259: 10, 276: 10, 291: 10, 305: 25, 307: 27, 309: 20, 313: 24, 314: 23, 317: 23, 318: 31, 320: 34, 324: 21, 325: 20, 326: 26, 327: 17, 328: 21, 332: 23, 334: 25, 336: 23, 337: 69, 339: 20, 340: 38, 343: 20, 345: 14, 347: 19, 351: 15, 352: 25, 360: 23, 363: 38, 365: 42, 367: 24, 369: 21, 371: 26, 375: 44, 382: 31}"
commercial,2300000,2298000.0,0.41329810811244605,39,"[4, 21, 37, 67, 71, 96, 111, 126, 145, 200, 201, 206, 213, 259, 291, 309, 313, 314, 320, 324, 325, 326, 327, 332, 334, 335, 336, 337, 339, 340, 343, 346, 347, 351, 356, 364, 372, 375, 382]","{4: 10, 21: 10, 37: 10, 67: 10, 71: 10, 96: 10, 111: 10, 126: 10, 145: 21, 200: 10, 201: 10, 206: 32, 213: 10, 259: 10, 291: 10, 309: 20, 313: 24, 314: 23, 320: 34, 324: 21, 325: 20, 326: 26, 327: 17, 332: 23, 334: 25, 335: 25, 336: 23, 337: 69, 339: 20, 340: 38, 343: 20, 346: 31, 347: 19, 351: 15, 356: 25, 364: 39, 372: 20, 375: 44, 382: 31}"
