strategy,budget_limit,budget_used,Q,opened_count,opened_indices,Z_values_opened
uniform,5000000,4962000.0,0.1852053631774331,75,"[2, 7, 9, 11, 23, 24, 30, 36, 37, 38, 39, 45, 52, 62, 66, 70, 75, 81, 92, 103, 105, 106, 113, 120, 128, 131, 137, 143, 193, 214, 259, 263, 268, 269, 273, 297, 303, 305, 307, 312, 313, 318, 324, 325, 327, 329, 331, 332, 335, 336, 339, 340, 341, 343, 345, 346, 348, 349, 350, 351, 352, 353, 355, 359, 360, 362, 364, 366, 367, 368, 369, 371, 375, 380, 382]","{2: 10, 7: 10, 9: 10, 11: 10, 23: 10, 24: 10, 30: 10, 36: 10, 37: 10, 38: 10, 39: 10, 45: 10, 52: 10, 62: 10, 66: 10, 70: 10, 75: 10, 81: 10, 92: 21, 103: 10, 105: 10, 106: 10, 113: 10, 120: 10, 128: 10, 131: 10, 137: 32, 143: 10, 193: 10, 214: 10, 259: 10, 263: 10, 268: 10, 269: 10, 273: 10, 297: 10, 303: 32, 305: 25, 307: 27, 312: 26, 313: 24, 318: 31, 324: 21, 325: 20, 327: 17, 329: 18, 331: 20, 332: 23, 335: 25, 336: 23, 339: 20, 340: 38, 341: 25, 343: 20, 345: 14, 346: 31, 348: 17, 349: 22, 350: 23, 351: 15, 352: 25, 353: 46, 355: 23, 359: 33, 360: 23, 362: 26, 364: 39, 366: 28, 367: 24, 368: 22, 369: 21, 371: 26, 375: 44, 380: 13, 382: 31}"
uniform,4700000,4686000.0,0.1987887371673838,71,"[1, 2, 7, 9, 11, 23, 24, 30, 36, 39, 45, 51, 52, 62, 66, 70, 75, 78, 81, 92, 105, 106, 113, 123, 128, 131, 137, 143, 193, 214, 263, 268, 297, 303, 305, 307, 312, 313, 318, 324, 325, 327, 331, 332, 335, 336, 339, 340, 341, 343, 345, 346, 348, 349, 350, 351, 353, 360, 361, 362, 363, 364, 366, 367, 368, 369, 371, 375, 378, 380, 382]","{1: 10, 2: 10, 7: 10, 9: 10, 11: 10, 23: 10, 24: 10, 30: 10, 36: 10, 39: 10, 45: 10, 51: 10, 52: 10, 62: 10, 66: 10, 70: 10, 75: 10, 78: 10, 81: 10, 92: 21, 105: 10, 106: 10, 113: 10, 123: 10, 128: 10, 131: 10, 137: 32, 143: 10, 193: 10, 214: 10, 263: 10, 268: 10, 297: 10, 303: 32, 305: 25, 307: 27, 312: 26, 313: 24, 318: 31, 324: 21, 325: 20, 327: 17, 331: 20, 332: 23, 335: 25, 336: 23, 339: 20, 340: 38, 341: 25, 343: 20, 345: 14, 346: 31, 348: 17, 349: 22, 350: 23, 351: 15, 353: 46, 360: 23, 361: 17, 362: 26, 363: 38, 364: 39, 366: 28, 367: 24, 368: 22, 369: 21, 371: 26, 375: 44, 378: 39, 380: 13, 382: 31}"
uniform,4400000,4398000.0,0.2160697061008186,68,"[2, 7, 11, 23, 24, 30, 36, 39, 45, 52, 62, 66, 70, 78, 81, 92, 105, 106, 113, 123, 128, 131, 137, 143, 193, 207, 214, 263, 268, 297, 303, 305, 307, 310, 312, 313, 318, 324, 325, 327, 331, 332, 335, 336, 339, 340, 343, 345, 346, 348, 350, 352, 353, 358, 360, 361, 362, 363, 364, 366, 367, 368, 369, 371, 375, 378, 380, 382]","{2: 10, 7: 10, 11: 10, 23: 10, 24: 10, 30: 10, 36: 10, 39: 10, 45: 10, 52: 10, 62: 10, 66: 10, 70: 10, 78: 10, 81: 10, 92: 21, 105: 10, 106: 10, 113: 10, 123: 10, 128: 10, 131: 10, 137: 32, 143: 10, 193: 10, 207: 10, 214: 10, 263: 10, 268: 10, 297: 10, 303: 32, 305: 25, 307: 27, 310: 35, 312: 26, 313: 24, 318: 31, 324: 21, 325: 20, 327: 17, 331: 20, 332: 23, 335: 25, 336: 23, 339: 20, 340: 38, 343: 20, 345: 14, 346: 31, 348: 17, 350: 23, 352: 25, 353: 46, 358: 14, 360: 23, 361: 17, 362: 26, 363: 38, 364: 39, 366: 28, 367: 24, 368: 22, 369: 21, 371: 26, 375: 44, 378: 39, 380: 13, 382: 31}"
uniform,4100000,4098000.0,0.23012392892439534,63,"[2, 7, 11, 22, 23, 24, 39, 45, 52, 54, 70, 75, 78, 81, 92, 113, 131, 137, 143, 193, 207, 214, 249, 263, 268, 297, 298, 303, 305, 307, 310, 312, 313, 318, 324, 325, 327, 331, 332, 334, 336, 339, 340, 341, 343, 345, 348, 350, 353, 355, 360, 363, 364, 366, 367, 368, 369, 373, 375, 376, 378, 380, 382]","{2: 10, 7: 10, 11: 10, 22: 10, 23: 10, 24: 10, 39: 10, 45: 10, 52: 10, 54: 10, 70: 10, 75: 10, 78: 10, 81: 10, 92: 21, 113: 10, 131: 10, 137: 32, 143: 10, 193: 10, 207: 10, 214: 10, 249: 10, 263: 10, 268: 10, 297: 10, 298: 10, 303: 32, 305: 25, 307: 27, 310: 35, 312: 26, 313: 24, 318: 31, 324: 21, 325: 20, 327: 17, 331: 20, 332: 23, 334: 25, 336: 23, 339: 20, 340: 38, 341: 25, 343: 20, 345: 14, 348: 17, 350: 23, 353: 46, 355: 23, 360: 23, 363: 38, 364: 39, 366: 28, 367: 24, 368: 22, 369: 21, 373: 12, 375: 44, 376: 28, 378: 39, 380: 13, 382: 31}"
uniform,3800000,3798000.0,0.24333712470942764,60,"[7, 23, 24, 39, 52, 66, 67, 70, 78, 81, 92, 113, 131, 137, 143, 159, 168, 193, 249, 250, 263, 268, 297, 303, 305, 307, 309, 310, 312, 313, 318, 325, 327, 331, 332, 336, 337, 339, 340, 341, 342, 343, 345, 346, 347, 348, 349, 350, 355, 360, 363, 364, 366, 367, 368, 373, 375, 378, 380, 382]","{7: 10, 23: 10, 24: 10, 39: 10, 52: 10, 66: 10, 67: 10, 70: 10, 78: 10, 81: 10, 92: 21, 113: 10, 131: 10, 137: 32, 143: 10, 159: 10, 168: 10, 193: 10, 249: 10, 250: 10, 263: 10, 268: 10, 297: 10, 303: 32, 305: 25, 307: 27, 309: 20, 310: 35, 312: 26, 313: 24, 318: 31, 325: 20, 327: 17, 331: 20, 332: 23, 336: 23, 337: 69, 339: 20, 340: 38, 341: 25, 342: 22, 343: 20, 345: 14, 346: 31, 347: 19, 348: 17, 349: 22, 350: 23, 355: 23, 360: 23, 363: 38, 364: 39, 366: 28, 367: 24, 368: 22, 373: 12, 375: 44, 378: 39, 380: 13, 382: 31}"
uniform,3500000,3476999.999999989,0.25791155864323295,56,"[23, 24, 39, 52, 66, 81, 92, 113, 131, 137, 143, 147, 193, 207, 249, 262, 263, 268, 279, 297, 303, 307, 309, 310, 312, 313, 318, 320, 324, 325, 326, 327, 331, 332, 336, 337, 339, 340, 341, 343, 345, 346, 347, 350, 351, 352, 360, 363, 364, 366, 367, 368, 369, 373, 375, 382]","{23: 10, 24: 10, 39: 10, 52: 10, 66: 10, 81: 10, 92: 21, 113: 10, 131: 10, 137: 32, 143: 10, 147: 10, 193: 10, 207: 10, 249: 10, 262: 10, 263: 10, 268: 10, 279: 10, 297: 10, 303: 32, 307: 27, 309: 20, 310: 35, 312: 26, 313: 24, 318: 31, 320: 34, 324: 21, 325: 20, 326: 26, 327: 17, 331: 20, 332: 23, 336: 23, 337: 69, 339: 20, 340: 38, 341: 25, 343: 20, 345: 14, 346: 31, 347: 19, 350: 23, 351: 15, 352: 25, 360: 23, 363: 38, 364: 39, 366: 28, 367: 24, 368: 22, 369: 21, 373: 12, 375: 44, 382: 31}"
uniform,3200000,3194999.999999999,0.2826664153637952,52,"[3, 23, 39, 66, 67, 74, 81, 92, 113, 123, 131, 143, 147, 162, 249, 268, 297, 304, 307, 309, 310, 312, 313, 318, 320, 324, 325, 326, 327, 331, 332, 336, 337, 339, 340, 341, 342, 343, 345, 346, 347, 349, 351, 360, 363, 366, 367, 368, 369, 370, 371, 375]","{3: 10, 23: 10, 39: 10, 66: 10, 67: 10, 74: 10, 81: 10, 92: 21, 113: 10, 123: 10, 131: 10, 143: 10, 147: 10, 162: 10, 249: 10, 268: 10, 297: 10, 304: 43, 307: 27, 309: 20, 310: 35, 312: 26, 313: 24, 318: 31, 320: 34, 324: 21, 325: 20, 326: 26, 327: 17, 331: 20, 332: 23, 336: 23, 337: 69, 339: 20, 340: 38, 341: 25, 342: 22, 343: 20, 345: 14, 346: 31, 347: 19, 349: 22, 351: 15, 360: 23, 363: 38, 366: 28, 367: 24, 368: 22, 369: 21, 370: 17, 371: 26, 375: 44}"
uniform,2900000,2900000.0,0.3013925120615284,46,"[23, 39, 74, 113, 123, 131, 143, 144, 162, 174, 198, 207, 249, 255, 263, 266, 276, 297, 304, 305, 309, 310, 313, 314, 318, 320, 324, 325, 326, 327, 332, 336, 337, 339, 340, 343, 345, 346, 351, 360, 363, 367, 368, 369, 371, 375]","{23: 10, 39: 10, 74: 10, 113: 10, 123: 10, 131: 10, 143: 10, 144: 10, 162: 13, 174: 12, 198: 10, 207: 10, 249: 10, 255: 10, 263: 10, 266: 10, 276: 10, 297: 10, 304: 43, 305: 25, 309: 20, 310: 35, 313: 24, 314: 23, 318: 31, 320: 34, 324: 21, 325: 20, 326: 26, 327: 17, 332: 23, 336: 23, 337: 69, 339: 20, 340: 38, 343: 20, 345: 14, 346: 31, 351: 15, 360: 23, 363: 38, 367: 24, 368: 22, 369: 21, 371: 26, 375: 44}"
uniform,2600000,2589000.0,0.33208253781741887,43,"[9, 23, 35, 39, 92, 97, 137, 144, 168, 207, 232, 249, 255, 276, 304, 305, 309, 313, 314, 318, 320, 324, 325, 326, 327, 332, 334, 336, 337, 340, 341, 343, 345, 351, 355, 360, 361, 362, 363, 365, 368, 371, 375]","{9: 10, 23: 10, 35: 10, 39: 10, 92: 21, 97: 10, 137: 32, 144: 10, 168: 10, 207: 10, 232: 10, 249: 10, 255: 10, 276: 10, 304: 43, 305: 25, 309: 20, 313: 24, 314: 23, 318: 31, 320: 34, 324: 21, 325: 20, 326: 26, 327: 17, 332: 23, 334: 25, 336: 23, 337: 69, 340: 38, 341: 25, 343: 20, 345: 14, 351: 15, 355: 23, 360: 23, 361: 17, 362: 26, 363: 38, 365: 42, 368: 22, 371: 26, 375: 44}"
uniform,2300000,2298000.000000001,0.3822425919897976,40,"[9, 23, 70, 126, 137, 255, 276, 284, 298, 304, 309, 312, 313, 314, 318, 320, 324, 325, 327, 332, 334, 335, 336, 337, 339, 340, 343, 347, 351, 356, 360, 363, 364, 365, 368, 369, 371, 375, 376, 377]","{9: 10, 23: 10, 70: 10, 126: 10, 137: 32, 255: 10, 276: 9, 284: 9, 298: 10, 304: 43, 309: 20, 312: 26, 313: 24, 314: 23, 318: 31, 320: 34, 324: 21, 325: 20, 327: 17, 332: 23, 334: 25, 335: 25, 336: 23, 337: 69, 339: 20, 340: 37, 343: 20, 347: 19, 351: 15, 356: 25, 360: 23, 363: 37, 364: 39, 365: 42, 368: 22, 369: 21, 371: 26, 375: 44, 376: 28, 377: 62}"
