strategy,budget_limit,budget_used,Q,opened
commercial,200000,200000.0,4.243193985916844,3
commercial,1000000,999000.0,1.6756593472322532,17
commercial,1800000,1800000.0,1.223914245728287,29
commercial,2600000,2595000.0,1.0007212573422946,41
commercial,3400000,3399000.0,0.8627956430794941,51
commercial,4200000,4200000.0,0.7792863040541977,61
commercial,5000000,4995000.0,0.7045842409820877,72
commercial,5800000,5769000.0,0.6962350436561415,82
commercial,6600000,6552000.0,0.6962350436561415,88
commercial,7400000,7400000.0,0.6962350436561415,103
commercial,8200000,8200000.0,0.6962350436561415,112
commercial,9000000,9000000.0,0.6962350436561415,123
commercial,9800000,9800000.0,0.6962350436561415,135
commercial,10600000,10583000.0,0.6962350436561415,106
commercial,11400000,11400000.0,0.6962350436561415,152
commercial,12200000,12200000.0,0.6962350436561415,165
commercial,13000000,12995000.0,0.6962350436561415,171
