strategy,budget_limit,budget_used,Q,opened
uniform,800000,795000.0,0.8933168527810743,15
uniform,1100000,1084000.0,0.6903026357742418,20
uniform,1400000,1395000.0,0.5869897733294472,25
uniform,1700000,1686000.0,0.4870537465645601,30
uniform,2000000,1994999.9999999623,0.4242320312794519,34
uniform,2600000,2589000.0,0.33208253781741887,43
uniform,3200000,3194999.999999999,0.2826664153637952,52
uniform,3500000,3476999.999999989,0.25791155864323295,56
uniform,3800000,3798000.0,0.24333712470942764,60
uniform,4100000,4098000.0,0.23012392892439534,63
uniform,4400000,4398000.0,0.2160697061008186,68
uniform,4700000,4686000.0,0.1987887371673838,71
uniform,5000000,4962000.0,0.1852053631774331,75
commercial,800000,774000.0,0.9359040951453045,14
commercial,1100000,1083000.000000033,0.7080922315945367,20
commercial,2900000,2895000.0,0.2989370027476073,49
commercial,3200000,3198000.0,0.26813231696686085,53
pred,200000,186000.0,2.460642592519565,4
pred,500000,495000.0,1.2600854978489369,9
pred,1100000,1086000.0000000256,0.6694692517761832,20
pred,1700000,1695000.0,0.48705374656456,29
pred,2000000,1998000.0,0.421894229270259,35
pred,2300000,2287000.0,0.3706612580578708,39
