strategy,budget_limit,budget_used,Q,opened
uniform,200000,200000.0,4.246381428591631,3
uniform,1000000,999000.0000000024,1.7465100613435254,16
uniform,1800000,1788000.0,1.2633231949581625,28
uniform,2600000,2586000.0,1.0335703483726932,39
uniform,3400000,3399000.0,0.8978636422184705,47
uniform,4200000,4197000.0,0.8050966273583529,59
uniform,5000000,4989000.0,0.7458394073633984,68
uniform,5800000,5790000.0,0.7458394073633984,76
uniform,6600000,6598000.0,0.7458394073633984,89
uniform,7400000,7400000.0,0.7458394073633984,89
uniform,8200000,8200000.0,0.7458394073633984,108
uniform,9000000,9000000.0,0.7458394073633984,115
uniform,9800000,9800000.0,0.7458394073633984,126
uniform,10600000,10600000.0,0.7458394073633984,137
uniform,11400000,11398000.0,0.7458394073633984,148
uniform,12200000,12200000.0,0.7458394073633983,156
uniform,13000000,12994000.0,0.7458394073633983,162
