station_index,station_id,station_name,capacity,pois_within_0_5km,pois_within_1km,pois_within_2km,avg_distance_to_all_pois_km
38,1727,Causewayside,21,1002,2557,5156,4.256660240965912
14,1809,Royal Edinburgh Hospital,23,333,2287,5827,4.237860183753253
31,1744,Morningside Road,20,441,2253,6145,4.2133020716229375
46,1097,Gladstone Terrace,14,895,2188,5508,4.193605646045807
45,1098,Marchmont Crescent,25,550,2043,5922,4.112084334717017
19,1768,Thirlestane Road,20,459,1988,6296,4.096124564367493
81,246,Royal Commonwealth Pool,20,405,1968,4559,4.3776634776277765
75,252,Kings Buildings 1,12,703,1862,5706,4.606415998870656
66,265,Meadows East,39,474,1811,5066,4.237004901342265
73,254,Kings Building 3,26,546,1770,5830,4.604681939932354
74,253,Kings Building 2,20,569,1748,5437,4.687824982074543
53,1051,Warrender Park Road,15,256,1694,5523,4.099315164681443
48,1093,Belford Road,19,234,1629,4520,4.48337164486166
40,1725,Edinburgh Zoo,20,351,1587,4898,5.42863126999894
67,264,Pollock Halls,42,186,1559,4540,4.430651275763146
29,1748,Colinton Road,18,598,1526,5842,4.132967808770998
59,1024,Meadow Place,29,182,1523,5450,4.1279645182233615
63,349,Orchard Brae House,17,352,1398,4525,4.566085703791536
20,1767,Bruntsfield Links,34,527,1397,5707,4.090097094303664
13,1813,Milton Road - Edinburgh College,24,522,1341,3159,7.178732846288456
33,1738,Wester Coates Terrace,21,353,1282,4793,4.4137983027473116
37,1728,Portobello - Kings Road,69,248,1271,4284,6.557646999556604
56,1038,South Trinity Road,31,382,1258,3578,5.37566555695641
5,1823,Boroughmuir,25,290,1233,4894,4.145025465487508
27,1753,Waitrose Comely Bank,17,245,1200,4873,4.764096947014666
25,1756,Western General Hospital,20,434,1196,4910,5.092747795618491
24,1757,Meggetland,21,362,1146,4898,4.525197799694512
17,1770,Ellersly Road,23,442,1145,4870,4.845362530164116
26,1754,Murrayfield Tram,26,41,1131,4480,4.485592491473002
58,1025,Dundee Terrace,25,173,1111,4932,4.1928633026111
49,1092,Dalry Road Lidl,17,105,983,4711,4.2286566084376815
21,1765,Haymarket Terrace,23,328,945,4658,4.294963205170177
34,1737,Inverleith Row,25,143,915,3691,4.911670401381296
44,1102,Haymarket Station,20,260,911,4643,4.237272563014993
78,249,Fountainbridge,28,182,868,4822,4.147999913048905
47,1096,West Crosscauseway,31,53,856,4649,4.265730215824418
4,1824,Duke Street,43,248,843,2353,5.595612086752826
43,1720,Dundas Street,22,256,842,3482,4.730774728265802
28,1749,Dean Street,21,331,835,4144,4.582976435629164
80,247,Charlotte Square,39,105,830,3369,4.366309605602243
71,258,Stockbridge,21,185,825,3725,4.62082994309512
68,262,Canonmills,28,239,825,3292,4.8570582084398
7,1821,Drumsheugh Place,27,253,821,3954,4.354830338137085
54,1050,EICC,25,166,749,4397,4.200526677960104
22,1763,Comely Bank Road,16,263,737,4339,4.6913328683627125
30,1745,Scotland Street,25,365,735,3058,4.7340349634968435
3,2259,Leith Walk North,32,114,718,2744,5.413091600849339
65,289,Castle Street,38,87,694,3364,4.339260275511764
35,1730,East London Street,25,248,682,2828,4.780283207992643
36,1729,McDonald Road,23,220,650,3097,5.016867010427839
42,1721,Tollcross,25,103,647,4546,4.156016223638323
55,1039,Lothian Road,46,112,593,4248,4.221708026698527
61,1017,Crichton Street,33,55,571,4499,4.26158743869219
62,358,Leith Walk,23,158,568,2853,5.204509351480759
70,259,St Andrew Square,22,186,557,2285,4.51058012715917
18,1769,Brunswick Place,31,79,550,2729,4.900118037748506
0,2268,Picardy Place,31,109,548,2035,4.635487320950067
69,260,Lauriston Place,24,27,520,4696,4.181710457523462
39,1726,Simon Square,22,53,520,4325,4.315965486660271
64,296,Castle Terrace,26,54,475,4300,4.209177046727019
77,250,Victoria Quay,44,30,438,2142,6.097744453344124
84,183,Waverley Bridge,31,27,430,2903,4.408712110545993
76,251,Waverley Station,19,15,406,2570,4.47195513856778
83,189,City Chambers,17,28,357,3455,4.3628808289252925
51,1090,Hillside Crescent,22,51,347,2322,4.836103887195439
11,1815,Sighthill - Edinburgh College,17,21,342,2534,6.46251387119446
60,1019,Grassmarket,14,38,335,4186,4.232689648073175
79,248,Bristo Square,62,55,333,4470,4.261894901440809
15,1807,Gamekeeper's Road,20,114,300,651,8.081400177352169
57,1028,Hunter Square,23,26,236,3458,4.377416221638084
82,225,Waverley Court,13,16,233,2754,4.479526956225819
72,256,St Andrews House,18,18,214,2362,4.561296443604443
52,1052,Surgeons Hall,23,47,182,4074,4.318769175257245
16,1798,Chambers Street,25,32,164,4080,4.305392860623285
12,1814,Abbeyhill,26,56,147,2232,4.790497746009064
2,2263,Musselburgh Lidl,34,17,130,884,8.941739622600986
10,1818,Dynamic Earth,35,20,118,3173,4.5828300822327686
50,1091,Holyrood Road,32,20,114,3331,4.462693358463346
1,2265,Musselburgh Brunton Hall,29,40,113,359,9.430275851118848
32,1739,Edinburgh Royal Infirmary,23,6,100,1545,5.816304887653795
23,1758,Queen Margaret University,17,27,53,657,8.6027036391033
41,1722,Cramond Foreshore,38,12,53,253,8.410567212848319
6,1822,Edinburgh Park Station,23,0,32,1339,7.343042122306256
9,1819,Heriot Watt - Edinburgh Business School,20,7,28,1072,8.585338045764093
8,1820,Heriot Watt - Student Accommodation,23,6,10,1077,9.047591099921927
