station_index,station_id,station_name,rank,poi_index,poi_name,poi_category,poi_lat,poi_lon,distance_km
0,2268,Picardy Place,1,30135,,residential,55.95749672,-3.185840411,0.10987526265476784
0,2268,Picardy Place,2,5570,,residential,55.95792839,-3.185409366,0.16346284842029482
0,2268,Picardy Place,3,14350,,residential,55.95807009,-3.187071211,0.17820126701977923
0,2268,Picardy Place,4,14336,,residential,55.95807405,-3.187048,0.17821371075895173
0,2268,Picardy Place,5,14343,,residential,55.95804921,-3.187196365,0.1784042936084728
0,2268,Picardy Place,6,14328,,residential,55.95809562,-3.186924961,0.17855574864758592
0,2268,Picardy Place,7,14335,,residential,55.95802467,-3.187341241,0.17906237618874912
0,2268,Picardy Place,8,5567,,residential,55.95810059,-3.185297778,0.18382672284550827
0,2268,Picardy Place,9,5568,,residential,55.95811131,-3.185189481,0.18721978751788743
0,2268,Picardy Place,10,14288,,residential,55.95821425,-3.1858697,0.18817341286830747
1,2265,Musselburgh Brunton Hall,1,32483,Farnham,residential,55.94446658,-3.058691059,0.06112364476151902
1,2265,Musselburgh Brunton Hall,2,32484,Blair,residential,55.94454015,-3.058239372,0.0645640724336722
1,2265,Musselburgh Brunton Hall,3,32144,,residential,55.94435334,-3.059345372,0.07802439445048322
1,2265,Musselburgh Brunton Hall,4,32481,,residential,55.94467985,-3.057855502,0.08475632459268273
1,2265,Musselburgh Brunton Hall,5,32480,,residential,55.94480942,-3.057892037,0.09783964918055765
1,2265,Musselburgh Brunton Hall,6,32147,,residential,55.94433605,-3.05990205,0.10774312875141515
1,2265,Musselburgh Brunton Hall,7,32482,,residential,55.9447515,-3.059520934,0.11596044513681669
1,2265,Musselburgh Brunton Hall,8,32146,,residential,55.94463302,-3.060032635,0.1309068622544434
1,2265,Musselburgh Brunton Hall,9,32157,,residential,55.94518665,-3.0582383,0.13638156525119877
1,2265,Musselburgh Brunton Hall,10,32148,,residential,55.94487122,-3.060236432,0.15711951455250342
2,2263,Musselburgh Lidl,1,15,Spark of Genius Musselburgh Learning Centre,school,55.9430316,-3.0674452,0.10372687884245445
2,2263,Musselburgh Lidl,2,16879,,residential,55.94486147,-3.068842899,0.16977366522150006
2,2263,Musselburgh Lidl,3,32479,,commercial,55.94354903,-3.062674069,0.25670866683328
2,2263,Musselburgh Lidl,4,32695,,residential,55.94512324,-3.062650704,0.2904860941050723
2,2263,Musselburgh Lidl,5,32694,,residential,55.94514788,-3.062402764,0.30540898002415906
2,2263,Musselburgh Lidl,6,25768,,residential,55.94528358,-3.062436291,0.31085155162166533
2,2263,Musselburgh Lidl,7,485,Campie Primary School,school,55.94144485,-3.063719212,0.33022844641306565
2,2263,Musselburgh Lidl,8,32148,,residential,55.94487122,-3.060236432,0.4205277629188043
2,2263,Musselburgh Lidl,9,32146,,residential,55.94463302,-3.060032635,0.42681469718083714
2,2263,Musselburgh Lidl,10,32147,,residential,55.94433605,-3.05990205,0.42965983190394413
3,2259,Leith Walk North,1,6810,,residential,55.96748593,-3.175004861,0.10050965511431594
3,2259,Leith Walk North,2,6809,,residential,55.96784702,-3.17519944,0.10069802560077418
3,2259,Leith Walk North,3,532,,commercial,55.96876538,-3.172776578,0.10684481310955228
3,2259,Leith Walk North,4,6816,,commercial,55.96873482,-3.172636992,0.10834163393200619
